STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/7/1970,,36,26
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/8/1970,,39,30
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/9/1970,,42,23
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/10/1970,,49,26
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/11/1970,,36,28
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/12/1970,,48,27
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/13/1970,,53,31
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/14/1970,,47,31
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/15/1970,,40,31
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/16/1970,,48,26
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/17/1970,,44,36
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/18/1970,,49,39
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/19/1970,,44,34
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/20/1970,,46,37
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/21/1970,,57,42
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/22/1970,,54,39
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/23/1970,,54,44
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/24/1970,,61,44
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/25/1970,,52,38
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/26/1970,,52,41
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/27/1970,,44,32
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/28/1970,,40,30
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/29/1970,,41,33
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/30/1970,,55,38
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,3/31/1970,,57,40
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/1/1970,,48,35
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/2/1970,,39,33
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/3/1970,,42,29
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/4/1970,,44,33
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/5/1970,,41,31
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/6/1970,,47,30
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/7/1970,,45,38
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/8/1970,,44,34
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/9/1970,,47,33
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/10/1970,,46,35
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/11/1970,,50,31
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/12/1970,,48,35
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/13/1970,,55,43
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/14/1970,,45,39
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/15/1970,,57,35
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/16/1970,,68,41
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/17/1970,,76,50
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/18/1970,,76,50
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/19/1970,,62,50
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/20/1970,,50,43
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/21/1970,,58,36
SZ000001940,"BASEL BINNINGEN, SZ",47.5331,7.5831,316,4/22/1970,,65,47
