STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/2/2019,34,41,30
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/3/2019,38,43,32
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/4/2019,34,39,28
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/5/2019,27,32,21
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/6/2019,24,27,19
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/7/2019,24,33,19
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/8/2019,30,38,24
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/9/2019,39,47,34
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/10/2019,38,44,34
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/11/2019,45,53,39
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/12/2019,40,43,34
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/13/2019,38,46,32
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/14/2019,46,57,41
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/15/2019,55,72,48
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/16/2019,51,59,37
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/17/2019,39,45,34
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/18/2019,38,46,33
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/19/2019,42,49,36
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/20/2019,44,51,37
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/21/2019,42,45,40
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/22/2019,43,49,38
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/23/2019,41,48,35
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/24/2019,47,60,38
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/25/2019,53,58,42
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/26/2019,42,48,33
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/27/2019,40,44,34
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/28/2019,42,51,37
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/29/2019,51,59,47
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/30/2019,55,65,46
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,3/31/2019,52,60,39
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/1/2019,40,46,33
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/2/2019,43,50,37
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/3/2019,50,67,41
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/4/2019,52,59,44
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/5/2019,42,45,39
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/6/2019,47,66,39
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/7/2019,56,63,47
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/8/2019,62,79,47
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/9/2019,47,50,43
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/10/2019,51,58,44
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/11/2019,45,52,40
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/12/2019,51,66,45
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/13/2019,63,75,58
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/14/2019,63,70,56
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/15/2019,56,62,45
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/16/2019,51,64,44
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/17/2019,53,61,47
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/18/2019,54,63,50
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/19/2019,62,76,55
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/20/2019,60,63,54
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/21/2019,56,64,51
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/22/2019,55,60,49
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/23/2019,61,75,54
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/24/2019,64,68,54
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/25/2019,56,63,49
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/26/2019,53,61,50
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/27/2019,55,57,48
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/28/2019,50,52,46
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/29/2019,50,59,44
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,4/30/2019,51,57,48
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/1/2019,52,55,48
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/2/2019,55,71,47
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/3/2019,51,52,48
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/4/2019,55,68,50
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/5/2019,53,54,49
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/6/2019,55,67,49
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/7/2019,57,65,51
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/8/2019,60,68,54
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/9/2019,56,61,52
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/10/2019,62,73,56
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/11/2019,65,70,57
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/12/2019,53,59,44
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/13/2019,46,50,42
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/14/2019,47,52,44
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/15/2019,54,69,47
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/16/2019,63,73,55
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/17/2019,69,78,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/18/2019,67,75,59
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/19/2019,66,76,60
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/20/2019,76,89,65
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/21/2019,68,71,57
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/22/2019,65,76,57
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/23/2019,67,75,58
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/24/2019,70,74,63
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,5/25/2019,64,70,57
